Muni;Mun1;CodigoMunicipio;CodMun ;Mun2
SASAIMA;Sasaima;25718;25718;Sasaima
SESQUILÉ;Sesquilé;25736;25736;Sesquilé
SIBATÉ;Sibaté;25740;25740;Sibaté
SILVANIA;Silvania;25743;25743;Silvania
SIMIJACA;Simijaca;25745;25745;Simijaca
SOACHA;Soacha;25754;25754;Soacha
SOPÓ;Sopó;25758;25758;Sopó
SUBACHOQUE;Subachoque;25769;25769;Subachoque
SUESCA;Suesca;25772;25772;Suesca
SUPATÁ;Supatá;25777;25777;Supatá
SUSA;Susa;25779;25779;Susa
SUTATAUSA;Sutatausa;25781;25781;Sutatausa
TABIO;Tabio;25785;25785;Tabio
TAUSA;Tausa;25793;25793;Tausa
TENA;Tena;25797;25797;Tena
TENJO;Tenjo;25799;25799;Tenjo
TIBACUY;Tibacuy;25805;25805;Tibacuy
TIBIRITA;Tibirita;25807;25807;Tibirita
TOCAIMA;Tocaima;25815;25815;Tocaima
TOCANCIPÁ;Tocancipá;25817;25817;Tocancipá
TOPAIPÍ;Topaipí;25823;25823;Topaipí
UBALÁ;Ubalá;25839;25839;Ubalá
UBAQUE;Ubaque;25841;25841;Ubaque
VILLA DE SAN DIEGO DE UBATE;Villa De San Diego De Ubate;25843;25843;Villa De San Diego De Ubate
UNE;Une;25845;25845;Une
ÚTICA;Útica;25851;25851;Útica
VERGARA;Vergara;25862;25862;Vergara
VIANÍ;Vianí;25867;25867;Vianí
VILLAGÓMEZ;Villagómez;25871;25871;Villagómez
VILLAPINZÓN;Villapinzón;25873;25873;Villapinzón
VILLETA;Villeta;25875;25875;Villeta
VIOTÁ;Viotá;25878;25878;Viotá
YACOPÍ;Yacopí;25885;25885;Yacopí
ZIPACÓN;Zipacón;25898;25898;Zipacón
ZIPAQUIRÁ;Zipaquirá;25899;25899;Zipaquirá
INÍRIDA;Inírida;94001;94001;Inírida
BARRANCO MINAS;Barranco Minas;94343;94343;Barranco Minas
MAPIRIPANA;Mapiripana;94663;94663;Mapiripana
SAN FELIPE;San Felipe;94883;94883;San Felipe
PUERTO COLOMBIA;Puerto Colombia;94884;94884;Puerto Colombia
LA GUADALUPE;La Guadalupe;94885;94885;La Guadalupe
CACAHUAL;Cacahual;94886;94886;Cacahual
PANA PANA;Pana Pana;94887;94887;Pana Pana
MORICHAL;Morichal;94888;94888;Morichal
SAN JOSÉ DEL GUAVIARE;San José Del Guaviare;95001;95001;San José Del Guaviare
CALAMAR;Calamar;95015;95015;Calamar
EL RETORNO;El Retorno;95025;95025;El Retorno
MIRAFLORES;Miraflores;95200;95200;Miraflores
NEIVA;Neiva;41001;41001;Neiva
ACEVEDO;Acevedo;41006;41006;Acevedo
AGRADO;Agrado;41013;41013;Agrado
AIPE;Aipe;41016;41016;Aipe
ALGECIRAS;Algeciras;41020;41020;Algeciras
ALTAMIRA;Altamira;41026;41026;Altamira
BARAYA;Baraya;41078;41078;Baraya
CAMPOALEGRE;Campoalegre;41132;41132;Campoalegre
COLOMBIA;Colombia;41206;41206;Colombia
ELÍAS;Elías;41244;41244;Elías
GARZÓN;Garzón;41298;41298;Garzón
GIGANTE;Gigante;41306;41306;Gigante
GUADALUPE;Guadalupe;41319;41319;Guadalupe
HOBO;Hobo;41349;41349;Hobo
IQUIRA;Iquira;41357;41357;Iquira
ISNOS;Isnos;41359;41359;Isnos
